feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16
1.0,0.33649289099526064,0.09292274446245273,0.32786885245901637,1.0,0.07426237943042212,0.3333333333333333,0.2222222222222222,0.25,0.011514312580651446,0.0,0.0,0.2,0.0,0.0,0.14285714285714285,0.1450381679389313
0.450446613284522,0.2938388625592417,0.1292994777597695,0.29098360655737704,0.43824799775315926,0.4586448251969191,0.6666666666666666,0.2222222222222222,0.5,0.3269963730764604,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.16030534351145037
0.5883106834920733,0.2796208530805687,0.05456509994597515,0.26229508196721313,0.744717866031843,1.0,1.0,0.2222222222222222,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.3511450381679389
0.3160776939316846,0.4075829383886256,0.3173059607419413,0.3975409836065574,0.10090193647523646,0.07426237943042212,0.3333333333333333,0.05555555555555555,0.25,0.010677598807578736,0.0,0.0,0.35,0.0,0.0,0.2857142857142857,0.26717557251908397
0.49968936262525926,0.6303317535545023,0.5798667386998019,0.6024590163934426,0.09345735246118239,0.07426237943042212,0.3333333333333333,0.05555555555555555,0.25,0.010677598807578736,0.0,0.0,0.55,0.0,0.0,0.0,0.1297709923664122
0.8815145781807463,0.16113744075829384,0.050783360345759046,0.22950819672131148,0.5946552351569402,1.0,1.0,0.4444444444444444,1.0,0.6401164799575716,0.0,0.0,0.2,0.0,0.0,0.14285714285714285,0.26717557251908397
0.47172815578754695,0.20853080568720378,0.09202233027192508,0.19672131147540983,0.4501218982830832,0.4586448251969191,0.6666666666666666,0.2222222222222222,0.5,0.37383303197564793,0.0,0.0,0.1,0.0,0.0,0.14285714285714285,0.26717557251908397
0.6975922721124308,0.22274881516587677,0.3797947055645597,0.21721311475409835,0.14263302409594464,1.0,1.0,0.2777777777777778,0.75,0.6044702730240638,0.0,0.0,0.6,0.0,0.0,0.2857142857142857,0.42748091603053434
0.1890097136630161,0.08056872037914692,0.01476679272465334,0.06147540983606557,0.27550150755154007,0.07426237943042212,0.3333333333333333,0.5,0.25,0.006859805958411412,0.0,0.0,0.2,0.0,0.0,0.14285714285714285,0.2748091603053435
0.3144854371916979,0.16587677725118483,0.12605798667386997,0.20901639344262296,0.29186008958543297,0.4586448251969191,0.6666666666666666,0.2222222222222222,0.5,0.2854662869756841,0.0,0.0,0.1,0.0,0.0,0.14285714285714285,0.26717557251908397
0.3993009698290572,0.10900473933649289,0.05564559697460832,0.10655737704918032,0.44336470340098044,0.4586448251969191,0.6666666666666666,0.2222222222222222,0.5,0.37383303197564793,0.0,0.0,0.2,0.0,0.0,0.14285714285714285,0.2900763358778626
