feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
1.0,0.33649289099526064,0.09292274446245273,0.32786885245901637,1.0,0.5381219429898989,0.07426237943042212,0.3333333333333333,0.2222222222222222,0.25,0.011514312580651444,0.9500672699155517,0.0,0.0,0.2,0.0,0.0,1.0,0.14285714285714285,0.1450381679389313
0.450446613284522,0.2938388625592417,0.1292994777597695,0.29098360655737704,0.43824799775315926,0.5946481299294155,0.4586448251969191,0.6666666666666666,0.2222222222222222,0.5,0.32699637307646034,0.9445614744674333,0.0,0.0,0.0,0.0,0.0,0.9570313477389066,0.14285714285714285,0.16030534351145037
0.5883106834920733,0.2796208530805687,0.05456509994597515,0.26229508196721313,0.7447178660318431,0.5834457740259165,1.0,1.0,0.2222222222222222,0.75,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9528384827646647,0.2857142857142857,0.3511450381679389
0.3160776939316846,0.4075829383886256,0.3173059607419413,0.3975409836065574,0.10090193647523646,0.3850512643381678,0.07426237943042212,0.3333333333333333,0.05555555555555555,0.25,0.010677598807578735,0.8117823584904323,0.0,0.0,0.35,0.0,0.0,0.6237876448329897,0.2857142857142857,0.26717557251908397
0.49968936262525926,0.6303317535545023,0.5798667386998019,0.6024590163934426,0.09345735246118239,0.20573939916712253,0.07426237943042212,0.3333333333333333,0.05555555555555555,0.25,0.010677598807578735,0.7021166197347724,0.0,0.0,0.55,0.0,0.0,0.871071898370213,0.0,0.1297709923664122
0.8815145781807463,0.16113744075829384,0.050783360345759046,0.22950819672131148,0.5946552351569401,0.662139945187326,1.0,1.0,0.4444444444444444,1.0,0.6401164799575716,0.8652292001534123,0.0,0.0,0.2,0.0,0.0,0.8274694203387375,0.14285714285714285,0.26717557251908397
0.47172815578754695,0.20853080568720378,0.09202233027192508,0.19672131147540983,0.4501218982830832,0.7795275126581863,0.4586448251969191,0.6666666666666666,0.2222222222222222,0.5,0.3738330319756479,0.981141785982131,0.0,0.0,0.1,0.0,0.0,0.10702832056355373,0.14285714285714285,0.26717557251908397
0.6975922721124308,0.22274881516587677,0.3797947055645597,0.21721311475409835,0.1426330240959446,0.25025213992088113,1.0,1.0,0.2777777777777778,0.75,0.6044702730240638,0.7930947700306683,0.0,0.0,0.6,0.0,0.0,0.7454756700824833,0.2857142857142857,0.42748091603053434
0.1890097136630161,0.08056872037914692,0.01476679272465334,0.06147540983606557,0.27550150755154007,0.45685956478509976,0.07426237943042212,0.3333333333333333,0.5,0.25,0.006859805958411409,0.9024465950703026,0.0,0.0,0.2,0.0,0.0,0.7698225195992147,0.14285714285714285,0.2748091603053435
0.3144854371916979,0.16587677725118483,0.12605798667386997,0.20901639344262296,0.2918600895854331,0.7488460266777405,0.4586448251969191,0.6666666666666666,0.2222222222222222,0.5,0.28546628697568405,0.8865122630931304,0.0,0.0,0.1,0.0,0.0,0.07267755676905008,0.14285714285714285,0.26717557251908397
